origin,original_dest,recommended_dest,time_slot,incentive_amount,period_start_min,expected_flow,surplus_at_dest,deficit_at_redir,detour_m
0,7,2,3,1.5,45.0,0.506,17.9,0.95,565.7
1,7,2,3,1.5,45.0,0.506,17.9,0.95,565.7
2,7,2,3,1.5,45.0,0.506,17.9,0.95,565.7
3,7,2,3,1.5,45.0,0.135,17.9,0.95,565.7
4,7,2,3,1.5,45.0,0.135,17.9,0.95,565.7
5,7,2,3,1.5,45.0,0.135,17.9,0.95,565.7
6,7,2,3,1.5,45.0,0.135,17.9,0.95,565.7
7,7,2,3,1.5,45.0,0.085,17.9,0.95,565.7
8,7,2,3,1.5,45.0,0.085,17.9,0.95,565.7
9,7,2,3,1.5,45.0,0.085,17.9,0.95,565.7
0,8,0,3,1.5,45.0,0.506,17.9,0.95,800.0
1,8,0,3,1.5,45.0,0.506,17.9,0.95,800.0
2,8,0,3,1.5,45.0,0.506,17.9,0.95,800.0
3,8,0,3,1.5,45.0,0.135,17.9,0.95,800.0
4,8,0,3,1.5,45.0,0.135,17.9,0.95,800.0
5,8,0,3,1.5,45.0,0.135,17.9,0.95,800.0
6,8,0,3,1.5,45.0,0.135,17.9,0.95,800.0
7,8,0,3,1.5,45.0,0.085,17.9,0.95,800.0
8,8,0,3,1.5,45.0,0.085,17.9,0.95,800.0
9,8,0,3,1.5,45.0,0.085,17.9,0.95,800.0
0,9,1,3,1.5,45.0,0.506,17.9,0.95,800.0
1,9,1,3,1.5,45.0,0.506,17.9,0.95,800.0
2,9,1,3,1.5,45.0,0.506,17.9,0.95,800.0
3,9,1,3,1.5,45.0,0.135,17.9,0.95,800.0
4,9,1,3,1.5,45.0,0.135,17.9,0.95,800.0
5,9,1,3,1.5,45.0,0.135,17.9,0.95,800.0
6,9,1,3,1.5,45.0,0.135,17.9,0.95,800.0
7,9,1,3,1.5,45.0,0.085,17.9,0.95,800.0
8,9,1,3,1.5,45.0,0.085,17.9,0.95,800.0
